time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697353237.57,-0.14,0.19,1.09,-0.3,0.3,42.1,0.98,0.05,-0.01,0.21
1697353237.58,-0.11,0.17,1.02,-0.7,0.3,42.1,0.97,0.05,-0.01,0.22
1697353237.59,-0.12,0.17,1.14,-1,0.5,42,0.97,0.05,-0.01,0.22
1697353237.6,-0.1,0.19,0.95,-1,0.4,41.8,0.97,0.05,-0.01,0.23
1697353237.61,-0.14,0.19,1.06,-0.9,0.7,41.7,0.97,0.05,-0.01,0.23
1697353237.62,-0.11,0.19,0.98,-0.8,0.7,41.5,0.97,0.05,-0.01,0.23
1697353237.63,-0.08,0.15,0.99,-0.8,0.5,41.3,0.97,0.05,-0.01,0.24
1697353237.64,-0.05,0.16,1,-0.8,0.5,41.3,0.97,0.05,-0.01,0.24
1697353237.65,-0.09,0.13,0.94,-1,0,40.9,0.97,0.05,-0.01,0.24
1697353237.66,-0.13,0.17,0.97,-0.9,-0.2,40.8,0.97,0.05,-0.01,0.25
1697353237.67,-0.12,0.21,1.08,-0.7,-0.4,40.7,0.97,0.05,-0.01,0.25
1697353237.68,-0.09,0.13,0.97,-0.2,-0.9,40.3,0.97,0.05,-0.01,0.26
1697353237.69,-0.08,0.18,0.96,-0.2,-0.9,40.3,0.97,0.05,-0.01,0.26
1697353237.7,-0.1,0.15,1.05,0.6,-0.8,40,0.96,0.05,-0.01,0.26
1697353237.71,-0.09,0.13,0.91,1,-0.6,39.7,0.96,0.05,-0.01,0.27
1697353237.72,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.73,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.74,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.75,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.76,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.77,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.78,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.79,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.8,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.81,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.82,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.83,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.84,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.85,-0.14,0.14,0.93,0.6,-0.2,39.6,0.96,0.05,-0.01,0.27
1697353237.86,-0.11,0.12,1.13,-0.4,1.1,38.2,0.95,0.05,-0,0.31
1697353237.87,-0.07,0.11,0.99,-0.7,1.2,37.8,0.95,0.05,0,0.32
1697353237.88,-0.1,0.15,1.04,-0.7,1.2,37.8,0.95,0.05,0,0.32
1697353237.89,-0.09,0.17,1,-0.4,0.9,37.5,0.95,0.05,0,0.32
1697353237.9,-0.06,0.14,0.95,-0.1,0.6,37.5,0.94,0.05,0,0.33
1697353237.91,-0.1,0.12,1.12,0.2,0.3,37.5,0.94,0.05,0,0.33
1697353237.92,-0.08,0.12,1,0.1,0.3,37.6,0.94,0.05,0,0.33
1697353237.93,-0.07,0.11,0.93,0.3,0,37.4,0.94,0.05,0,0.33
1697353237.94,-0.07,0.15,1.02,0.3,0,37.4,0.94,0.05,0,0.33
1697353237.95,-0.1,0.11,1.02,0.1,-0.1,37.4,0.94,0.05,0.01,0.34
1697353237.96,-0.07,0.15,1,0.2,-0.2,37.2,0.94,0.05,0.01,0.34
1697353237.97,-0.09,0.11,0.99,0.3,-0.1,37.1,0.94,0.05,0.01,0.35
1697353237.98,-0.09,0.13,0.99,0.3,-0.1,37.1,0.94,0.05,0.01,0.35
1697353237.99,-0.1,0.13,0.97,0.2,0,36.9,0.94,0.05,0.01,0.35
1697353238,-0.09,0.1,0.99,-0.2,0.3,36.4,0.93,0.05,0.01,0.36
1697353238.01,-0.09,0.16,1.08,-0.1,0.5,36.1,0.93,0.05,0.01,0.36
1697353238.02,-0.09,0.13,0.95,0.5,0.7,35.9,0.93,0.05,0.01,0.36
1697353238.03,-0.12,0.11,1.03,1,1,35.6,0.93,0.05,0.01,0.37
1697353238.04,-0.12,0.11,1.03,1,1,35.6,0.93,0.05,0.01,0.37
1697353238.05,-0.06,0.08,0.89,0.7,1.2,35.2,0.93,0.05,0.01,0.37
1697353238.06,-0.06,0.13,0.97,0.2,1.1,35.2,0.93,0.05,0.01,0.37
1697353238.07,-0.06,0.13,0.97,0.2,1.1,35.2,0.93,0.05,0.01,0.37
1697353238.08,-0.12,0.1,1.07,0.1,1.2,35.1,0.92,0.05,0.02,0.38
1697353238.09,-0.18,0.13,0.93,-0.3,1.4,34.9,0.92,0.05,0.02,0.38
1697353238.1,-0.37,0.07,1.26,-1,1.3,34.4,0.92,0.05,0.02,0.38
1697353238.11,-0.23,0.04,0.93,-1,1.8,33.7,0.92,0.05,0.02,0.39
1697353238.12,-0.28,0.07,1.06,-0.8,1.4,33.2,0.92,0.05,0.02,0.39
1697353238.13,-0.22,0.02,0.93,-0.6,1.4,32.6,0.92,0.05,0.02,0.39
1697353238.14,-0.32,0.02,1.17,-0.6,1.2,31.7,0.92,0.05,0.02,0.39
1697353238.15,-0.26,-0.02,0.89,-0.6,1.1,31,0.92,0.05,0.02,0.4
1697353238.16,-0.28,-0.01,1.03,-0.9,0.7,29.9,0.92,0.05,0.02,0.4
1697353238.17,-0.3,-0.01,1.02,-0.8,0.4,28.9,0.91,0.05,0.02,0.4
1697353238.18,-0.34,-0.01,1.03,-0.9,0.5,28.1,0.91,0.05,0.01,0.4
1697353238.19,-0.32,-0.01,1,-0.7,0.7,27.3,0.91,0.05,0.02,0.41
1697353238.2,-0.36,-0.04,1,-0.5,0.6,26.5,0.91,0.05,0.02,0.41
