time,can_rx_timeout,can_rx_timeout_code,vcu_status,vcu_error_code,rear_sensor_status,rear_sensor_error_code,bms_error_code,inverter_state,inverter_vsm_state,inverter_post_fault,inverter_run_fault
1697350709.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350710.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350711.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350712.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350713.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350714.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350715.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350716.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350717.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350718.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350719.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350720.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350721.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350722.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350723.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350724.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350725.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350726.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
