time,status,serivce used,longitude,latitude,covarience[0],covarience[1],covarience[2],covarience[3],covarience[4],covarience[5],covarience[6],covarience[7],covarience[8],covarience type,altitude,velocity_x,velocity_y
1697351304.35,NO_FIX,1,121.418485,25.038042,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351305.35,NO_FIX,1,121.418486,25.038042,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351306.35,NO_FIX,1,121.418486,25.038042,42.600000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351307.35,NO_FIX,1,121.418487,25.038042,42.600000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351308.35,NO_FIX,1,121.418487,25.038042,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351309.35,NO_FIX,1,121.418487,25.038042,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351310.35,NO_FIX,1,121.418487,25.038041,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351311.35,NO_FIX,1,121.418487,25.038041,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351312.35,NO_FIX,1,121.418487,25.038041,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351313.35,NO_FIX,1,121.418488,25.038041,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351314.35,NO_FIX,1,121.418488,25.038041,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351315.35,NO_FIX,1,121.418487,25.038041,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351316.35,NO_FIX,1,121.418488,25.038040,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351317.35,NO_FIX,1,121.418488,25.038040,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
