time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697350717.95,50.63,0.51,0.33,0.00,0.41
1697350718.05,50.63,0.51,0.33,0.00,0.41
1697350718.15,50.63,0.51,0.33,0.00,0.41
1697350718.25,50.63,0.51,0.33,0.00,0.41
1697350718.35,50.63,0.51,0.33,0.00,0.41
1697350718.45,51.61,0.51,0.33,0.00,0.41
1697350718.55,51.61,0.51,0.33,0.00,0.41
1697350718.65,51.61,0.51,0.33,0.00,0.41
1697350718.75,51.61,0.51,0.33,0.00,0.41
1697350718.85,51.61,0.51,0.33,0.00,0.41
1697350718.95,51.61,0.51,0.33,0.00,0.41
1697350719.05,51.61,0.51,0.33,0.00,0.41
1697350719.15,51.61,0.51,0.33,0.00,0.41
1697350719.25,51.61,0.51,0.33,0.00,0.41
1697350719.35,51.12,0.52,0.33,0.00,0.41
1697350719.45,51.12,0.52,0.33,0.00,0.41
1697350719.55,51.12,0.52,0.33,0.00,0.41
1697350719.65,51.12,0.52,0.33,0.00,0.41
1697350719.75,51.12,0.52,0.33,0.00,0.41
1697350719.85,51.12,0.52,0.33,0.00,0.41
1697350719.95,51.12,0.52,0.33,0.00,0.41
1697350720.05,51.12,0.52,0.33,0.00,0.41
1697350720.15,51.12,0.52,0.33,0.00,0.41
1697350720.25,51.12,0.52,0.33,0.00,0.41
1697350720.35,52.10,0.50,0.33,0.00,0.41
1697350720.45,52.10,0.50,0.33,0.00,0.41
1697350720.55,52.10,0.50,0.33,0.00,0.41
1697350720.65,52.10,0.50,0.33,0.00,0.41
1697350720.75,52.10,0.50,0.33,0.00,0.41
1697350720.85,52.10,0.50,0.33,0.00,0.41
1697350720.95,52.10,0.50,0.33,0.00,0.41
1697350721.05,52.10,0.50,0.33,0.00,0.41
1697350721.15,52.10,0.50,0.33,0.00,0.41
1697350721.25,52.10,0.50,0.33,0.00,0.41
1697350721.35,52.58,0.51,0.33,0.00,0.41
1697350721.45,52.58,0.51,0.33,0.00,0.41
1697350721.55,52.58,0.51,0.33,0.00,0.41
1697350721.65,52.58,0.51,0.33,0.00,0.41
1697350721.75,52.58,0.51,0.33,0.00,0.41
1697350721.85,52.58,0.51,0.33,0.00,0.41
1697350721.95,52.58,0.51,0.33,0.00,0.41
1697350722.05,52.58,0.51,0.33,0.00,0.41
1697350722.15,52.58,0.51,0.33,0.00,0.41
1697350722.25,52.58,0.51,0.33,0.00,0.41
1697350722.35,51.61,0.52,0.33,0.00,0.41
1697350722.45,51.61,0.52,0.33,0.00,0.41
1697350722.55,51.61,0.52,0.33,0.00,0.41
1697350722.65,51.61,0.52,0.33,0.00,0.41
1697350722.75,51.61,0.52,0.33,0.00,0.41
1697350722.85,51.61,0.52,0.33,0.00,0.41
1697350722.95,51.61,0.52,0.33,0.00,0.41
1697350723.05,51.61,0.52,0.33,0.00,0.41
1697350723.15,51.61,0.52,0.33,0.00,0.41
1697350723.25,51.61,0.52,0.33,0.00,0.41
1697350723.35,51.12,0.51,0.33,0.00,0.41
1697350723.45,51.12,0.51,0.33,0.00,0.41
1697350723.55,51.12,0.51,0.33,0.00,0.41
1697350723.65,51.12,0.51,0.33,0.00,0.41
